Team 1
1 P 0: Bedard, Erik                [01000000] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
29 LF 5: Schumaker, Skip           [10000110] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 26
1 P 0: Webb, Brandon               [01000110] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Hernandez, Livan            [01000110] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Davis, Doug                 [01000110] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Gonzalez, Edgar G.          [01000110] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Johnson, Randy              [01000110] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 5: Durbin, J.D.                [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
7 P 2: Medders, Brandon            [01000110] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Slaten, Doug                [01000110] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Pena, Tony                  [01000110] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 3: Cruz, Juan                 [01000110] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
11 P 6: Lyon, Brandon              [01000110] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Valverde, Jose             [01000110] | [10000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Snyder, Chris              [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Montero, Miguel            [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 C 5: Hammock, Robby             [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Jackson, Conor            [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 1B 5: Clark, Tony               [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 2B 5: Hudson, Orlando           [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 2B 5: Callaspo, Alberto         [01000110] | [10000000] | [00000000] | [00000010] | [00010100] | [00000000]
20 3B 5: Tracy, Chad               [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Drew, Stephen             [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 RF 5: Byrnes, Eric              [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 RF 5: Quentin, Carlos           [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 CF 5: Young, Chris              [01000110] | [10000000] | [00000000] | [00000010] | [00010100] | [00000000]
25 LF 5: Hairston, Scott           [01000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Petit, Yusmeiro            [10000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Eveland, Dana              [10000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Nippert, Dustin            [10000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Schultz, Mike              [10000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 3B 5: Barden, Brian             [10000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 RF 5: DaVanon, Jeff             [10000110] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 27
1 P 0: Cook, Aaron                 [01000110] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Francis, Jeff               [01000110] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Lopez, Rodrigo              [01000110] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Hirsh, Jason                [01000110] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Fogg, Josh                  [01000110] | [11000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 1: Buchholz, Taylor            [01000110] | [11000000] | [00000000] | [00000000] | [00000100] | [00000000]
7 P 2: Kim, Byung-Hyun             [01000110] | [11000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Corpas, Manny               [01000110] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Ramirez, Ramon              [01000110] | [11000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 4: Affeldt, Jeremy            [01000110] | [11000000] | [00000000] | [00000000] | [00010000] | [00000000]
11 P 6: Hawkins, LaTroy            [01000110] | [11000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Fuentes, Brian             [01000110] | [11000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Torrealba, Yorvit          [01000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Iannetta, Chris            [01000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Helton, Todd              [01000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Matsui, Kazuo             [01000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Carroll, Jamey            [01000110] | [11000000] | [00000000] | [00000100] | [00010100] | [00000000]
18 3B 5: Atkins, Garrett           [01000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 SS 5: Tulowitzki, Troy          [01000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 RF 5: Baker, Jeff               [01000110] | [11000000] | [00000000] | [00001000] | [00010100] | [00000000]
21 RF 5: Hawpe, Brad               [01000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 CF 5: Taveras, Willy            [01000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: Finley, Steve             [01000110] | [11000000] | [00000000] | [00001010] | [00010100] | [00000000]
24 LF 5: Mabry, John               [01000110] | [11000000] | [00000000] | [00001000] | [00010100] | [00000000]
25 LF 5: Holliday, Matt            [01000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Speier, Ryan               [10000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Bautista, Denny            [10000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Lawrence, Brian            [10000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 P 5: Clarke, Darren             [10000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 SS 5: Quintanilla, Omar         [10000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 SS 5: Barmes, Clint             [10000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]
32 RF 5: Spilborghs, Ryan          [10000110] | [11000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 28
1 P 0: Lowe, Derek                 [01000111] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Wolf, Randy                 [01000111] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Schmidt, Jason              [01000111] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Penny, Brad                 [01000111] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Tomko, Brett                [01000111] | [00000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Hendrickson, Mark           [01000111] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Beimel, Joe                 [01000111] | [00000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Seanez, Rudy                [01000111] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Billingsley, Chad           [01000111] | [00000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Broxton, Jonathan          [01000111] | [00000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 7: Saito, Takashi             [01000111] | [00000000] | [00000000] | [00000000] | [00011100] | [00000000]
12 C 5: Martin, Russell            [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
13 C 5: Lieberthal, Mike           [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 1B 5: Garciaparra, Nomar        [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Saenz, Olmedo             [01000111] | [00000000] | [00000000] | [00001000] | [00010100] | [00000000]
16 2B 5: Martinez, Ramon           [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 2B 5: Kent, Jeff                [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
18 3B 5: Gordon, Great             [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 SS 5: Valdez, Wilson            [01000111] | [00000000] | [00000000] | [00000010] | [00010100] | [00000000]
20 SS 5: Furcal, Rafael            [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 CF 5: Pierre, Juan              [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 CF 5: Clark, Brady              [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 LF 5: Gonzalez, Luis            [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 LF 5: Ethier, Andre             [01000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Anderson, Marlon          [01000111] | [00000000] | [00000000] | [00001000] | [00010100] | [00000000]
26 P 5: Tsao, Chin-hui             [10000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Brazoban, Yhency           [10000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Kuo, Hong-Chih             [10000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 3B 5: LaRoche, Andy             [10000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
30 LF 5: Kemp, Matt                [10000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]
31 LF 5: Repko, Jason              [10000111] | [00000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 29
1 P 0: Peavy, Jake                 [01000111] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Young, Chris                [01000111] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Hensley, Clay               [01000111] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Maddux, Greg                [01000111] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Wells, David                [01000111] | [01000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 2: Thompson, Mike              [01000111] | [01000000] | [00000000] | [00000000] | [00001000] | [00000000]
7 P 2: Cameron, Kevin              [01000111] | [01000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 3: Brocail, Doug               [01000111] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
9 P 3: Hudson, Great               [01000111] | [01000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Meredith, Cla              [01000111] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Linebrink, Scott           [01000111] | [01000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Hoffman, Trevor            [01000111] | [01000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Bowen, Rob                 [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Bard, Josh                 [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Gonzalez, Adrian          [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 2B 5: Giles, Marcus             [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 3B 5: Branyan, Russell          [01000111] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
18 3B 5: Kouzmanoff, Kevin         [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 SS 5: Blum, Geoff               [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
20 SS 5: Greene, Khalil            [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 RF 5: Giles, Brian              [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 CF 5: Cameron, Mike             [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 LF 5: Sledge, Terrmel           [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 LF 5: McAnulty, Paul            [01000111] | [01000000] | [00000000] | [00001000] | [00010100] | [00000000]
25 LF 5: Cruz Jr., Jose            [01000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
26 P 5: Cassidy, Scott             [10000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 P 5: Ring, Royce                [10000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 P 5: Hampson, Justin            [10000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 2B 5: Robles, Oscar             [10000111] | [01000000] | [00000000] | [00000000] | [00010100] | [00000000]

Team 30
1 P 0: Zito, Barry                 [01000111] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
2 P 0: Cain, Matt                  [01000111] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
3 P 0: Morris, Matt                [01000111] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
4 P 0: Lowry, Noah                 [01000111] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
5 P 0: Ortiz, Russ                 [01000111] | [10000000] | [00000000] | [00000000] | [00000000] | [00000000]
6 P 1: Hennessey, Brad             [01000111] | [10000000] | [00000000] | [00000000] | [00000100] | [00000000]
7 P 2: Sanchez, Jonathan           [01000111] | [10000000] | [00000000] | [00000000] | [00001000] | [00000000]
8 P 4: Taschner, Jack              [01000111] | [10000000] | [00000000] | [00000000] | [00010000] | [00000000]
9 P 3: Chulk, Vinnie               [01000111] | [10000000] | [00000000] | [00000000] | [00001100] | [00000000]
10 P 6: Correia, Kevin             [01000111] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
11 P 6: Kline, Steve               [01000111] | [10000000] | [00000000] | [00000000] | [00011000] | [00000000]
12 P 7: Benitez, Armando           [01000111] | [10000000] | [00000000] | [00000000] | [00011100] | [00000000]
13 C 5: Alfonzo, Eliezer           [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
14 C 5: Molina, Bengie             [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
15 1B 5: Aurilia, Rich             [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
16 1B 5: Niekro, Lance             [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
17 1B 5: Klesko, Ryan              [01000111] | [10000000] | [00000000] | [00001000] | [00010100] | [00000000]
18 2B 5: Durham, Ray               [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
19 2B 5: Frandsen, Kevin           [01000111] | [10000000] | [00000000] | [00000010] | [00010100] | [00000000]
20 3B 5: Feliz, Pedro              [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
21 SS 5: Vizquel, Omar             [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
22 CF 5: Winn, Randy               [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
23 CF 5: Roberts, Dave             [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
24 LF 5: Gonzalez, Great           [01000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
25 LF 5: Linden, Todd              [01000111] | [10000000] | [00000000] | [00000010] | [00010100] | [00000000]
26 P 5: Munter, Scott              [10000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
27 1B 5: Sweeney, Mark             [10000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
28 RF 5: Ortmeier, Dan             [10000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]
29 CF 5: Lewis, Fred               [10000111] | [10000000] | [00000000] | [00000000] | [00010100] | [00000000]


C:\dev\PowerUp\PowerUp\PowerUp\bin\Debug\net6.0\win-x64\PowerUp.exe (process 38648) exited with code 0.
To automatically close the console when debugging stops, enable Tools->Options->Debugging->Automatically close the console when debugging stops.
Press any key to close this window . . .
